"ID","rodada","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"8050","3","29/04/2023","18:30","Bragantino","Cruzeiro","4-2-3-1","4-2-3-1","P. Faria Caixinha","P. Marques da Costa Filipe","Cruzeiro","Nabizão","0","3","SP","MG"
"8051","3","29/04/2023","21:00","Atletico-MG","Athletico-PR","4-4-2","4-1-4-1","E. Coudet","P. Turra","Atletico-MG","Estádio Raimundo Sampaio","2","1","MG","PR"
"8052","3","30/04/2023","16:00","Flamengo","Botafogo-RJ","3-4-2-1","4-2-3-1","J. Sampaoli Moya","L. Ribeiro de Castro","Botafogo-RJ"," Maracanã","2","3","RJ","RJ"
"8053","3","30/04/2023","18:30","Cuiaba","Gremio","4-2-3-1","4-2-3-1","I. Abreu Vieira","Renato Gaúcho","Gremio","Arena Pantanal","1","2","MT","RS"
"8054","3","30/04/2023","18:32","Internacional","Goias","4-2-3-1","4-2-3-1","L. Venker de Menezes","E. Rodrigues de Ávila","Internacional","Estádio Beira-Rio","1","0","RS","GO"
"8055","3","01/05/2023","20:00","Vasco","Bahia","4-3-3","5-4-1","M. Nogueira Barbieri","R. Alves Paiva","Bahia","Estádio São Januário","0","1","RJ","BA"
"8056","4","06/05/2023","16:00","Cruzeiro","Santos","4-2-3-1","4-2-3-1","P. Marques da Costa Filipe","O. Hellmann","Cruzeiro","Estádio Raimundo Sampaio","2","1","MG","SP"
"8057","4","06/05/2023","21:01","Fluminense","Vasco","4-2-3-1","4-3-3","F. Diniz Silva","M. Nogueira Barbieri","-"," Maracanã","1","1","RJ","RJ"
"8058","4","07/05/2023","11:01","America-MG","Cuiaba","4-1-4-1","4-2-3-1","V. Carmo Mancini","I. Abreu Vieira","Cuiaba","Estádio Raimundo Sampaio","1","2","MG","MT"
"8059","4","07/05/2023","16:00","Bahia","Coritiba","3-4-3","3-4-3","R. Alves Paiva","A. Zago","Bahia","Itaipava Arena Fonte Nova","3","1","BA","PR"
"8061","4","07/05/2023","16:00","Athletico-PR","Flamengo","4-4-2","4-4-2","P. Turra","J. Sampaoli Moya","Athletico-PR","Ligga Arena","2","1","PR","RJ"
"8060","4","07/05/2023","16:02","Sao Paulo","Internacional","4-2-3-1","4-2-3-1","D. Silvestre Júnior","L. Venker de Menezes","Sao Paulo"," Morumbi","2","0","SP","RS"
"8062","4","07/05/2023","18:30","Gremio","Bragantino","4-2-3-1","4-3-3","Renato Gaúcho","P. Faria Caixinha","-","Arena do Grêmio","3","3","RS","SP"
"8063","4","07/05/2023","18:30","Botafogo-RJ","Atletico-MG","4-2-3-1","4-2-2-2","V. Severino","E. Coudet","Botafogo-RJ","Estádio Nilton Santos","2","0","RJ","MG"
"8064","4","07/05/2023","18:31","Goias","Palmeiras","4-2-3-1","3-4-2-1","E. Rodrigues de Ávila","A. Moreira Ferreira","Palmeiras","Estádio Hailé Pinheiro - Serrinha","0","5","GO","SP"
"8065","4","08/05/2023","20:00","Corinthians","Fortaleza","4-2-3-1","4-2-3-1","V. Luxemburgo da Silva","J. Vojvoda","-","Neo Química Arena","1","1","SP","CE"
"8067","5","10/05/2023","18:59","Santos","Bahia","4-2-3-1","3-4-2-1","O. Hellmann","R. Alves Paiva","Santos","Estádio Urbano Caldeira","3","0","SP","BA"
"8066","5","10/05/2023","19:00","Internacional","Athletico-PR","4-2-3-1","4-3-3","L. Venker de Menezes","P. Turra","Athletico-PR","Estádio Beira-Rio","0","2","RS","PR"
"8068","5","10/05/2023","19:00","Bragantino","America-MG","4-3-3","4-1-4-1","P. Faria Caixinha","V. Carmo Mancini","-","Nabizão","2","2","SP","MG"
"8069","5","10/05/2023","19:59","Cuiaba","Atletico-MG","4-2-3-1","4-2-2-2","L. Iubel","E. Coudet","Atletico-MG","Arena Pantanal","0","4","MT","MG"
"8070","5","10/05/2023","20:00","Flamengo","Goias","4-2-3-1","4-2-3-1","J. Sampaoli Moya","E. Rodrigues de Ávila","Flamengo"," Maracanã","2","0","RJ","GO"
"8071","5","10/05/2023","21:29","Cruzeiro","Fluminense","4-2-3-1","4-2-3-1","P. Marques da Costa Filipe","F. Diniz Silva","Fluminense"," Mineirão","0","2","MG","RJ"
"8072","5","10/05/2023","21:29","Palmeiras","Gremio","4-2-3-1","3-4-1-2","A. Moreira Ferreira","Renato Gaúcho","Palmeiras","Allianz Parque","4","1","SP","RS"
"8073","5","11/05/2023","19:00","Coritiba","Vasco","5-4-1","4-3-3","A. Zago","M. Nogueira Barbieri","-"," Couto Pereira","1","1","PR","RJ"
"8074","5","11/05/2023","19:30","Botafogo-RJ","Corinthians","4-2-3-1","4-1-4-1","L. Ribeiro de Castro","V. Luxemburgo da Silva","Botafogo-RJ","Estádio Nilton Santos","3","0","RJ","SP"
"8075","5","11/05/2023","20:00","Fortaleza","Sao Paulo","4-4-2","4-3-3","J. Vojvoda","D. Silvestre Júnior","-","Arena Castelão","0","0","CE","SP"
"8076","6","13/05/2023","16:00","Bahia","Flamengo","3-4-1-2","4-1-4-1","R. Alves Paiva","J. Sampaoli Moya","Flamengo","Itaipava Arena Fonte Nova","2","3","BA","RJ"
"8077","6","13/05/2023","18:30","Fluminense","Cuiaba","4-2-3-1","4-2-3-1","F. Diniz Silva","L. Iubel","Fluminense"," Maracanã","2","0","RJ","MT"
"8078","6","13/05/2023","18:30","Palmeiras","Bragantino","4-2-3-1","4-3-3","A. Moreira Ferreira","P. Faria Caixinha","-","Allianz Parque","1","1","SP","SP"
"8079","6","13/05/2023","21:00","Atletico-MG","Internacional","4-2-2-2","4-2-3-1","E. Coudet","L. Venker de Menezes","Atletico-MG"," Mineirão","2","0","MG","RS"
"8080","6","14/05/2023","16:00","Gremio","Fortaleza","4-2-3-1","4-2-3-1","Renato Gaúcho","J. Vojvoda","-","Arena do Grêmio","0","0","RS","CE"
"8081","6","14/05/2023","16:00","Vasco","Santos","4-3-3","4-2-3-1","M. Nogueira Barbieri","O. Hellmann","Santos","Estádio São Januário","0","1","RJ","SP"
"8082","6","14/05/2023","16:02","Corinthians","Sao Paulo","4-1-4-1","4-2-3-1","V. Luxemburgo da Silva","D. Silvestre Júnior","-","Neo Química Arena","1","1","SP","SP"
"8083","6","14/05/2023","18:29","Athletico-PR","Coritiba","4-2-3-1","5-4-1","P. Turra","A. Zago","Athletico-PR","Ligga Arena","3","2","PR","PR"
"8085","6","14/05/2023","18:29","America-MG","Cruzeiro","4-3-3","4-3-3","V. Carmo Mancini","P. Marques da Costa Filipe","Cruzeiro","Estádio Raimundo Sampaio","0","4","MG","MG"
"8084","6","14/05/2023","18:30","Goias","Botafogo-RJ","4-3-3","4-2-3-1","E. Rodrigues de Ávila","L. Ribeiro de Castro","Goias","Estádio Hailé Pinheiro - Serrinha","2","1","GO","RJ"
"8086","7","20/05/2023","16:02","Bahia","Goias","3-4-3","4-4-2","R. Alves Paiva","E. Rodrigues de Ávila","-","Itaipava Arena Fonte Nova","1","1","BA","GO"
"8087","7","20/05/2023","18:30","Bragantino","Athletico-PR","4-2-3-1","4-2-3-1","P. Faria Caixinha","P. Turra","Bragantino","Nabizão","2","0","SP","PR"
"8088","7","20/05/2023","18:30","Sao Paulo","Vasco","4-2-3-1","4-3-3","D. Silvestre Júnior","M. Nogueira Barbieri","Sao Paulo"," Morumbi","4","2","SP","RJ"
"8090","7","20/05/2023","18:30","America-MG","Fortaleza","4-2-3-1","4-2-3-1","V. Carmo Mancini","J. Vojvoda","America-MG","Estádio Raimundo Sampaio","2","1","MG","CE"
"8091","7","20/05/2023","18:30","Botafogo-RJ","Fluminense","4-2-3-1","4-2-3-1","L. Ribeiro de Castro","F. Diniz Silva","Botafogo-RJ","Estádio Nilton Santos","1","0","RJ","RJ"
"8089","7","20/05/2023","18:31","Coritiba","Atletico-MG","3-5-2","4-1-2-1-2","A. Zago","E. Coudet","Atletico-MG"," Couto Pereira","1","2","PR","MG"
"8092","7","20/05/2023","21:00","Santos","Palmeiras","4-2-3-1","4-2-3-1","O. Hellmann","J. M. Barreto Martins","-","Estádio Urbano Caldeira","0","0","SP","SP"
"8093","7","21/05/2023","16:00","Flamengo","Corinthians","4-2-2-2","4-4-2","J. Sampaoli Moya","V. Luxemburgo da Silva","Flamengo"," Maracanã","1","0","RJ","SP"
"8094","7","21/05/2023","18:31","Gremio","Internacional","3-4-3","4-2-3-1","Renato Gaúcho","L. Venker de Menezes","Gremio","Arena do Grêmio","3","1","RS","RS"
"8095","7","22/05/2023","20:00","Cruzeiro","Cuiaba","4-3-3","4-3-3","P. Marques da Costa Filipe","A. Cardoso de Oliveira","Cuiaba","Estádio Joaquim Henrique Nogueira-Arena do jacaré","0","1","MG","MT"
"8096","8","27/05/2023","16:00","Athletico-PR","Gremio","4-2-3-1","3-4-2-1","P. Turra","Renato Gaúcho","Gremio","Ligga Arena","1","2","PR","RS"
"8097","8","27/05/2023","16:02","Fortaleza","Vasco","4-4-2","4-3-3","J. Vojvoda","C. Maldonado","Fortaleza","Arena Castelão","2","0","CE","RJ"
"8098","8","27/05/2023","18:31","Flamengo","Cruzeiro","4-3-1-2","4-3-3","J. Sampaoli Moya","P. Marques da Costa Filipe","-"," Maracanã","1","1","RJ","MG"
"8099","8","27/05/2023","18:32","Cuiaba","Coritiba","4-3-3","3-4-1-2","A. Cardoso de Oliveira","A. Zago","-","Arena Pantanal","1","1","MT","PR"
"8100","8","27/05/2023","21:02","Sao Paulo","Goias","4-2-3-1","4-4-2","D. Silvestre Júnior","E. Rodrigues de Ávila","Sao Paulo"," Morumbi","2","1","SP","GO"
"8102","8","28/05/2023","16:02","Internacional","Bahia","4-2-3-1","3-4-3","L. Venker de Menezes","R. Alves Paiva","Internacional","Estádio Beira-Rio","2","0","RS","BA"
"8101","8","28/05/2023","16:04","Corinthians","Fluminense","4-4-2","4-2-3-1","V. Luxemburgo da Silva","E. de Barros","Corinthians","Neo Química Arena","2","0","SP","RJ"
"8104","8","28/05/2023","18:31","Bragantino","Santos","4-3-3","4-2-3-1","P. Faria Caixinha","O. Hellmann","Bragantino","Nabizão","2","0","SP","SP"
"8103","8","28/05/2023","18:32","Atletico-MG","Palmeiras","4-1-3-2","4-2-3-1","E. Coudet","A. Moreira Ferreira","-"," Mineirão","1","1","MG","SP"
"8105","8","28/05/2023","19:01","Botafogo-RJ","America-MG","4-2-3-1","4-1-4-1","L. Ribeiro de Castro","V. Carmo Mancini","Botafogo-RJ","Estádio Nilton Santos","2","0","RJ","MG"
"8106","9","03/06/2023","16:00","Fortaleza","Bahia","4-2-3-1","3-5-2","J. Vojvoda","R. Alves Paiva","-","Arena Castelão","0","0","CE","BA"
"8107","9","03/06/2023","18:30","Athletico-PR","Botafogo-RJ","4-2-3-1","4-2-3-1","P. Turra","L. Ribeiro de Castro","Athletico-PR","Ligga Arena","1","0","PR","RJ"
"8108","9","03/06/2023","18:30","Cruzeiro","Atletico-MG","4-3-3","4-2-3-1","P. Marques da Costa Filipe","E. Coudet","Atletico-MG","Estádio Municipal Parque do Sabiá","0","1","MG","MG"
"8109","9","03/06/2023","18:33","America-MG","Corinthians","4-1-3-2","3-4-2-1","V. Carmo Mancini","V. Luxemburgo da Silva","America-MG","Estádio Raimundo Sampaio","2","0","MG","SP"
"8110","9","03/06/2023","21:01","Santos","Internacional","4-2-3-1","4-2-3-1","O. Hellmann","L. Venker de Menezes","-","Estádio Urbano Caldeira","1","1","SP","RS"
"8111","9","04/06/2023","16:00","Fluminense","Bragantino","4-2-3-1","4-3-3","F. Diniz Silva","P. Faria Caixinha","Fluminense"," Maracanã","2","1","RJ","SP"
"8112","9","04/06/2023","16:01","Gremio","Sao Paulo","3-4-2-1","3-4-2-1","Renato Gaúcho","D. Silvestre Júnior","Gremio","Arena do Grêmio","2","1","RS","SP"
"8113","9","04/06/2023","18:29","Goias","Cuiaba","4-2-3-1","4-2-3-1","E. Rodrigues de Ávila","A. Cardoso de Oliveira","Cuiaba","Estádio Hailé Pinheiro - Serrinha","0","1","GO","MT"
"8114","9","04/06/2023","18:29","Palmeiras","Coritiba","4-2-3-1","3-4-1-2","A. Moreira Ferreira","A. Zago","Palmeiras","Allianz Parque","3","1","SP","PR"
"8115","9","05/06/2023","20:00","Vasco","Flamengo","3-4-3","4-2-2-2","M. Nogueira Barbieri","J. Sampaoli Moya","Flamengo"," Maracanã","1","4","RJ","RJ"
"8116","10","10/06/2023","16:03","Coritiba","Santos","3-5-2","4-2-3-1","A. Zago","O. Hellmann","-"," Couto Pereira","0","0","PR","SP"
"8119","10","10/06/2023","18:30","Atletico-MG","Bragantino","4-2-3-1","4-3-3","E. Coudet","P. Faria Caixinha","-"," Mineirão","1","1","MG","SP"
"8117","10","10/06/2023","18:31","Bahia","Cruzeiro","3-4-2-1","4-3-3","R. Alves Paiva","P. Marques da Costa Filipe","-","Itaipava Arena Fonte Nova","2","2","BA","MG"
"8118","10","10/06/2023","18:32","Corinthians","Cuiaba","3-4-1-2","4-2-3-1","V. Luxemburgo da Silva","A. Cardoso de Oliveira","-","Neo Química Arena","1","1","SP","MT"
"8120","10","10/06/2023","21:00","Botafogo-RJ","Fortaleza","4-2-3-1","4-4-2","L. Ribeiro de Castro","J. Vojvoda","Botafogo-RJ","Estádio Nilton Santos","2","0","RJ","CE"
"8121","10","11/06/2023","11:00","America-MG","Athletico-PR","4-1-4-1","4-2-3-1","V. Carmo Mancini","P. Turra","-"," Mineirão","2","2","MG","PR"
"8122","10","11/06/2023","16:00","Sao Paulo","Palmeiras","4-2-3-1","4-2-3-1","D. Silvestre Júnior","A. Moreira Ferreira","Palmeiras"," Morumbi","0","2","SP","SP"
"8123","10","11/06/2023","16:00","Internacional","Vasco","4-2-3-1","4-1-2-1-2","L. Venker de Menezes","M. Nogueira Barbieri","Internacional","Estádio Beira-Rio","2","1","RS","RJ"
"8124","10","11/06/2023","18:30","Flamengo","Gremio","4-2-2-2","5-4-1","J. Sampaoli Moya","Renato Gaúcho","Flamengo"," Maracanã","3","0","RJ","RS"
